Title, Genre, Developer, Publisher, Launch Date, User Approval, Description, Link
Dreaming Sarah, "Adventure, Casual, Indie", "Andre Chagas Silva y	Anthony Septim", Asteristic Game Studio, 12 March 2015, 93%+, "Inspired by the horror game Yume Nikki, Dreaming Sarah is a surreal adventure platformer game with puzzle elements, an engaging environment, an incredibly diverse cast of characters, and of course, a young girl named Sarah.", http://cdn.edgecast.steamstatic.com/steam/apps/296870/header.jpg
Child of Light, "RPG, Fantasy", "Ubisoft Montréal", Ubisoft, 30 April 2014, 87%+, "Aurora, a young girl from 1895 Austria, awakens on the lost fairytale continent of Lemuria.", http://cdn.edgecast.steamstatic.com/steam/apps/256290/header.jpg
Fallout: New Vegas, "Action, RPG", Obsidian Entretainment, Bethesda Softworks, 19 October 2010, 95%+, "Welcome to Vegas. New Vegas. It’s the kind of town where you dig your own grave prior to being shot in the head and left for dead…and that’s before things really get ugly.", http://cdn.edgecast.steamstatic.com/steam/apps/22380/header.jpg
Civilization V, "Strategy", Firaxis Games, 2K Games, 23 September 2010, 95%+, "Become Ruler of the World by establishing and leading a civilization from the dawn of man into the space age.", http://cdn.edgecast.steamstatic.com/steam/apps/8930/header.jpg
Night in the Woods, Adventure, Infinite Fall , Finji,21 February 2017,95%+,"NIGHT IN THE WOODS is an adventure game focused on exploration, story, and character, featuring dozens of characters to meet and lots to do across a lush, vibrant world.",http://cdn.edgecast.steamstatic.com/steam/apps/481510/header.jpg
Amnesia: The Dark Descent,"Action, Adventure, Indie", Frictional Games , Frictional Games , 8 September 2010 ,96%+," A game about immersion, discovery and living through a nightmare.",http://cdn.edgecast.steamstatic.com/steam/apps/57300/header.jpg
Alice: Madness Returns, "Action, Adventure", Spicy Horse Games, Electronic Arts, 14 June 2011, 87%+, "After ten years in an asylum, Alice has finally secured her release. Yet she still bears a heavy psychological burden, and escapes reality because of it."  , http://cdn.edgecast.steamstatic.com/steam/apps/19680/header.jpg
Life Is Strange,"Action, Adventure","DONTNOD Entertainment, Feral Interactive (Mac) , Feral Interactive (Linux)","Square Enix, Feral interactive (Mac), Feral Interactive (Linux)",29 January 2015, 96%+ , "Follow the story of Max Caulfield, a photography senior who discovers she can rewind time while saving her best friend Chloe Price.",http://cdn.edgecast.steamstatic.com/steam/apps/319630/header.jpg
The Elder Scrolls V: Skyrim, "RPG", Bethesda Game Studios, Bethesta Softworks, 10 November 2011, 95%+, "The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. ", http://cdn.edgecast.steamstatic.com/steam/apps/72850/header.jpg
The Witcher 3: Wild Hunt, RPG, CD PROJEKT RED, CD PROJEKT RED, 18 May 2015, 97%+, "The Witcher: Wild Hunt is a story-driven, next-generation open world role-playing game set in a visually stunning fantasy universe full of meaningful choices and impactful consequences. ", http://cdn.edgecast.steamstatic.com/steam/apps/292030/header.jpg
